Url_path,Title,Desc
https://www2.hm.com/en_us/productpage.1128482002.html,Oversized T-shirt,"Short, boxy, oversized T-shirt in soft jersey. Ribbed neckline and dropped shoulders."
https://www2.hm.com/en_us/productpage.1128470002.html,Pointelle Jersey Top,"Short, fitted top in pointelle jersey. Low-cut neckline and short sleeves."
https://www2.hm.com/en_us/productpage.1031513006.html,2-pack Crop Tube Tops,Crop tube tops in double layers of soft cotton jersey.
https://www2.hm.com/en_us/productpage.1122105012.html,Linen-blend Shirt,"Longer, loose-fit shirt in woven fabric made from a cotton and linen blend. Collar, buttons at front, and a patch chest pocket. Dropped shoulders, long sleeves with button at cuffs, and a rounded hem."
https://www2.hm.com/en_us/productpage.1183145001.html,Textured Slip Dress,"Calf-length, flared dress in textured jersey. Extra-narrow shoulder straps, square neckline, and a lower-cut, v-shaped back with a narrow, horizontal strap."
https://www2.hm.com/en_us/productpage.1177170001.html,Denim Parachute Pants,"Loose-fit pants in non-stretch denim. Covered elastic at back of waistband and zip fly with button. Diagonal side pockets, a back pocket with flap, and open leg pockets with tab and snap fastener. Pleats at sides of knees for added volume. Elastic drawstring at hems with cord stopper."
https://www2.hm.com/en_us/productpage.1182924001.html,Net Skirt Embellished with Glass Beads,"Fitted, calf-length net skirt embellished with shiny glass beads. Regular waist, narrow, elasticized waistband, and a concealed zipper at one side. Fringe at hem. Unlined."
https://www2.hm.com/en_us/productpage.1083344013.html,Canvas Cargo Pants,"Relaxed-fit cargo pants in cotton canvas with straight legs. Low waist, covered elastic at sides and back of waistband, and zip fly with snap fastener. Diagonal side pockets, leg pockets with flap, and an additional pocket on one leg."
https://www2.hm.com/en_us/productpage.1163120004.html,Oversized Printed T-shirt,Oversized T-shirt in soft cotton jersey with a printed motif at front. Ribbed neckline and dropped shoulders.
https://www2.hm.com/en_us/productpage.1067430023.html,Wide Ultra High Jeans,"5-pocket jeans in rigid cotton denim that feels firm at first but then softens and loosens with wear. Wide leg with a regular fit from the waist to the hip and a straight, wide cut from the thigh to the hem. Extra-high waist with a zip fly and button. Regular length, designed to hit the top of the foot with little or no stacking. A denim statement that goes the distance."
https://www2.hm.com/en_us/productpage.0882925002.html,Ribbed Tank Top,Fitted tank top in ribbed cotton jersey with a round neckline.
https://www2.hm.com/en_us/productpage.1158561001.html,Joggers,"Sweatpant joggers with soft, brushed inside. Covered elastic at waistband, discreet side-seam pockets, and covered elastic at hems."
https://www2.hm.com/en_us/productpage.1158561002.html,Joggers,"Sweatpant joggers with soft, brushed inside. Covered elastic at waistband, discreet side-seam pockets, and covered elastic at hems."
https://www2.hm.com/en_us/productpage.1107360001.html,Wide-leg Twill Pants,"Pants in cotton twill. High waist, zip fly with button, and front and back pockets. Straight, wide legs."
https://www2.hm.com/en_us/productpage.1107360020.html,Wide-leg Twill Pants,"Pants in cotton twill. High waist, zip fly with button, and front and back pockets. Straight, wide legs."
https://www2.hm.com/en_us/productpage.1162785021.html,Oversized Printed T-shirt,Oversized T-shirt in soft cotton jersey with a printed motif at front. Ribbed neckline and dropped shoulders.
https://www2.hm.com/en_us/productpage.1147452001.html,High Denim Shorts,"5-pocket shorts in thick cotton denim. High waist, button fly, and raw-edge hems."
https://www2.hm.com/en_us/productpage.1159410001.html,Twill Cargo Pants,"Loose-fit cargo pants in cotton twill. High waist, zip fly with button, and straight legs with a visible seam below knees. Diagonal front pockets, back pockets, and bellows leg pockets."
https://www2.hm.com/en_us/productpage.1161568003.html,Draped Bodycon Dress,"Fitted, calf-length dress in crêped jersey with side-seam gathers for a gently draped effect. Extra-narrow shoulder straps, square neckline, and deep armholes. Lined at top."
https://www2.hm.com/en_us/productpage.1178038001.html,Gathered Thong Bodysuit,"Fitted thong bodysuit in soft jersey with double layers at top. Asymmetric neckline, gathers at shoulders and sides, and concealed snap fasteners at gusset."
https://www2.hm.com/en_us/productpage.1049251010.html,Crop Tank Top,"Fitted, crop tank top in ribbed cotton jersey with narrow trim at neckline and armholes."
https://www2.hm.com/en_us/productpage.1141812001.html,2-pack Crop T-shirts,Fitted crop T-shirts in soft cotton jersey.
https://www2.hm.com/en_us/productpage.1134735011.html,Oversized Poplin Shirt,"Oversized shirt in crisp cotton poplin. Button-down collar, buttons at front, patch chest pocket with button, and a yoke at back. Dropped shoulders and long sleeves with button at cuffs. Rounded hem."
https://www2.hm.com/en_us/productpage.1049251011.html,Crop Tank Top,"Fitted, crop tank top in ribbed cotton jersey with narrow trim at neckline and armholes."
https://www2.hm.com/en_us/productpage.0939703055.html,V-neck Blouse,"V-neck blouse in woven fabric with a sheen. Collar, buttons at front, and long sleeves with a sleeve placket and button at cuffs. Rounded hem."
https://www2.hm.com/en_us/productpage.1173454005.html,Jersey Bodycon Dress,"Long, fitted dress in soft cotton jersey. Narrow shoulder straps, low-cut, round neckline, and a straight-cut hem."
https://www2.hm.com/en_us/productpage.0992104001.html,Sweatshorts,"Lightweight sweatshorts made from a cotton blend. High waist, covered, elasticized waistband with drawstring, and side pockets."
https://www2.hm.com/en_us/productpage.0882925001.html,Ribbed Tank Top,Fitted tank top in ribbed cotton jersey with a round neckline.
https://www2.hm.com/en_us/productpage.1163972006.html,Linen-blend Wrap-front Skirt,"Fitted, calf-length skirt in a woven viscose and linen blend with a regular waist. Concealed zipper at back with hook-and-eye fastening. Wrapover front with a concealed snap fastener and wide ties at one side. Unlined."
https://www2.hm.com/en_us/productpage.1169910001.html,Oversized Kaftan Dress,"Oversized, ankle-length dress in woven, crêped fabric. V-shaped neckline, buttons at front, and short, wide sleeves. Unlined."
https://www2.hm.com/en_us/productpage.1183776001.html,Linen T-shirt,Loose-fit T-shirt in airy linen jersey. Narrow trim at neckline and gently dropped shoulders.
https://www2.hm.com/en_us/productpage.1180285004.html,Wrap-front Jacket Dress,"Short, fitted, sleeveless jacket dress in woven fabric. Shawl collar and a wrapover front with draping at waist, a concealed button at one side, and wide ties at other side. Unlined."
https://www2.hm.com/en_us/productpage.1147831002.html,High Denim Shorts,"5-pocket shorts in denim with gentle stretch. High waist, zip fly with button, and raw-edge hems."
https://www2.hm.com/en_us/productpage.1152458004.html,Baggy Regular Jeans,"Loose-fit, 5-pocket jeans in non-stretch cotton denim. Regular waist, zip fly with button, and dropped gusset. Straight, extra-long legs."
https://www2.hm.com/en_us/productpage.1086758002.html,Chiffon Dress,"Long dress in softy draped chiffon with flounce-trimmed shoulder straps. V-neck at front, smocking at back, and a cut-out section at back with covered elastic at edges. Seam at hips for added volume and soft draping, and two slits at front of hem. Partly lined."
https://www2.hm.com/en_us/productpage.1147831001.html,High Denim Shorts,"5-pocket shorts in denim with gentle stretch. High waist, zip fly with button, and raw-edge hems."
https://www2.hm.com/en_us/productpage.1147831001.html,High Denim Shorts,"5-pocket shorts in denim with gentle stretch. High waist, zip fly with button, and raw-edge hems."
https://www2.hm.com/en_us/productpage.1171525001.html,Satin Skirt,"A-line, ankle-length skirt in softly draped satin. High waist, concealed zipper at one side with button, and high slit at front. Unlined."
https://www2.hm.com/en_us/productpage.1175931002.html,Drawstring-detail Dress,"Sleeveless, calf-length dress in woven fabric. Narrow, adjustable shoulder straps, low-cut V-neck, and double, extra-narrow drawstrings at waist to tie at sides. Gently flared skirt. Unlined."
